Time, Position x, Position y, Position z, Rotation x, Rotation y, Rotation z, Angular Velocity x, Angular Velocity y, Angular Velocity z, Velocity x, Velocity y, Velocity z, Throttle, Brake, Steering
1.33882, -1.289487, 0.08663993, -32.726, -0.004632996, 0.06975438, 0.0003096194, -0.00580249, 8.488613E-06, 0.0009988702, -1.537183E-05, 0.05602087, -0.0002600076, 0.07511704, 0, -0.02353155
1.371217, -1.28948, 0.08827496, -32.72596, -0.004703935, 0.0697545, 0.000316095, -0.006334305, 1.089803E-05, 0.0009325183, -7.613673E-05, 0.05226086, -0.0003015589, 0.07234415, 0, -0.02352882
1.405413, -1.289473, 0.0898204, -32.72591, -0.00478692, 0.06975462, 0.0003217428, -0.002925149, 7.227351E-06, 0.0003389278, 4.147561E-06, 0.03596558, -0.0001388668, 0.0621771, 0, -0.02353366
1.437929, -1.289471, 0.09083125, -32.72589, -0.004819675, 0.06975471, 0.0003224179, -0.001260073, 6.250771E-06, 5.422651E-05, 1.751215E-05, 0.02710618, -5.808811E-05, 0.07788994, 0, -0.02353443
1.45814, -1.289471, 0.09122017, -32.72589, -0.004818204, 0.06975478, 0.0003207083, 0.0002925778, 4.966127E-06, -0.0002056103, 2.933759E-05, 0.01834694, 1.842334E-05, 0.06425682, 0, -0.0235383
1.488118, -1.289475, 0.09147269, -32.72591, -0.004788512, 0.06975485, 0.0003156418, 0.002949357, 2.270672E-06, -0.0006336114, 4.770834E-05, 0.002303138, 0.0001512562, 0.07696559, 0, -0.02353581
1.521684, -1.289482, 0.09139228, -32.72594, -0.004726157, 0.0697549, 0.0003075394, 0.004804521, -7.708677E-07, -0.0009020391, 5.618742E-05, -0.01018292, 0.0002429067, 0.0619461, 0, -0.02353887
1.554666, -1.289491, 0.09099132, -32.726, -0.004641723, 0.06975492, 0.0002980152, 0.005395918, -2.298285E-06, -0.0009723289, 5.725573E-05, -0.01458979, 0.0002707251, 0.06957143, 0, -0.02353239
1.588059, -1.289501, 0.09039778, -32.72606, -0.00454427, 0.06975492, 0.0002880412, 0.006006585, -3.975774E-06, -0.001011434, 5.456409E-05, -0.01980624, 0.0002961598, 0.07581022, 0, -0.02353398
1.621337, -1.28951, 0.0897169, -32.72611, -0.004442986, 0.06975489, 0.0002785467, 0.005952122, -4.652542E-06, -0.0009397289, 4.706798E-05, -0.02086389, 0.0002877545, 0.06287028, 0, -0.02353428
1.655619, -1.28952, 0.0890121, -32.72617, -0.00434192, 0.06975486, 0.0002699946, 0.005721285, -4.822412E-06, -0.0008722624, 4.215339E-05, -0.02015251, 0.0002738302, 0.07511704, 0, -0.02353434
1.688087, -1.289528, 0.08840948, -32.72623, -0.004254864, 0.06975481, 0.000263439, 0.004953689, -4.33661E-06, -0.0006958692, 3.122298E-05, -0.01699416, 0.0002325939, 0.06102174, 0, -0.02353119
1.708276, -1.289531, 0.08808395, -32.72626, -0.004206571, 0.06975478, 0.0002601889, 0.004457445, -3.91732E-06, -0.0005959138, 2.563752E-05, -0.0148363, 0.0002074681, 0.07627241, 0, -0.02353377
1.738071, -1.289536, 0.08768439, -32.72629, -0.004144693, 0.06975475, 0.0002565446, 0.003912294, -3.26295E-06, -0.0004935005, 2.020389E-05, -0.01246592, 0.0001806249, 0.06287028, 0, -0.02353548
1.771487, -1.289546, 0.08705005, -32.72638, -0.004005173, 0.06975474, 0.0002482486, 0.008650458, -1.621214E-06, -0.001117809, 5.736654E-05, -0.01823607, 0.0004099758, 0.06125274, 0, -0.02353455
1.7914, -1.289553, 0.08671556, -32.72643, -0.003919835, 0.06975474, 0.0002433029, 0.00841543, -1.133568E-06, -0.001075245, 5.089668E-05, -0.0156821, 0.0003940216, 0.07188197, 0, -0.02353306
1.808213, -1.289558, 0.08647422, -32.72647, -0.00385028, 0.06975476, 0.0002393497, 0.008017247, -3.042696E-07, -0.001015916, 4.594286E-05, -0.01291996, 0.0003720548, 0.07442386, 0, -0.02352798
1.838245, -1.289567, 0.08613706, -32.72654, -0.003733974, 0.06975479, 0.000232867, 0.007488947, 1.870303E-07, -0.0009418669, 4.080117E-05, -0.01010343, 0.000345118, 0.06287028, 0, -0.02352463
1.858709, -1.289573, 0.08598149, -32.72658, -0.003662827, 0.06975483, 0.0002289659, 0.006855357, 8.707566E-07, -0.0008581541, 3.556941E-05, -0.007345527, 0.0003141387, 0.07581022, 0, -0.02353405
1.875358, -1.289577, 0.08589898, -32.72662, -0.003610922, 0.06975485, 0.0002261511, 0.006141686, 1.127664E-06, -0.0007650873, 3.02534E-05, -0.004739299, 0.0002801447, 0.06263927, 0, -0.02354119
1.892665, -1.28958, 0.08584715, -32.72665, -0.003562264, 0.06975486, 0.0002235101, 0.0053855, 1.861997E-06, -0.0006716744, 2.537235E-05, -0.002335414, 0.0002447861, 0.0621771, 0, -0.023548
1.921778, -1.289586, 0.08582889, -32.72669, -0.003492657, 0.06975489, 0.000219707, 0.003815122, 2.231189E-06, -0.0004808876, 1.610001E-05, 0.001657009, 0.000172502, 0.06402563, 0, -0.02353797
1.941514, -1.289589, 0.08586381, -32.72671, -0.003455365, 0.06975493, 0.0002176279, 0.003033564, 2.406519E-06, -0.0003882929, 1.187337E-05, 0.003168121, 0.0001368157, 0.06333245, 0, -0.02351911
1.957968, -1.289591, 0.08591568, -32.72673, -0.003430245, 0.06975495, 0.0002161829, 0.003033564, 2.406519E-06, -0.0003882929, 1.187337E-05, 0.003168121, 0.0001368157, 0.07396169, 0, -0.02350749
