Velocity y,Velocity x,Rotation, Angular Velocity y,Steering transferred,Steering
0.454829141,8.751679936,-0.016957395,0.73902093,0.556447037,0.910916548
0.469923429,8.719282738,0.056373949,0.733467777,0.553002866,0.905278361
0.487641452,8.687084437,0.130178698,0.729817682,0.548973294,0.89868186
0.517040098,8.65699242,0.202036527,0.706078151,0.550991557,0.901985802
0.51141884,8.627590613,0.273011479,0.724420654,0.550918837,0.901866758
0.479956655,8.599238927,0.346213763,0.73827078,0.54719362,0.895768493
0.48277072,8.559839989,0.421051463,0.762580402,0.54267315,0.88836838
0.500811479,8.523618369,0.499318737,0.805505445,0.536577125,0.878389047
0.485863207,8.494085589,0.580129436,0.805026547,0.521835045,0.854255924
0.455449738,8.472614891,0.659640026,0.770781519,0.491337086,0.804330067
0.484418516,8.463154721,0.731572289,0.625225628,0.467955367,0.766053657
0.482360707,8.461057579,0.790852032,0.571767378,0.456527249,0.747345565
0.447948188,8.458602835,0.847055506,0.540403909,0.422511778,0.69166146
0.382941791,8.466450036,0.897905066,0.444401803,0.345172687,0.565055597
0.268941564,8.498877029,0.937216999,0.320204847,0.279403768,0.457390369
0.188740559,8.536237634,0.964934101,0.223533046,0.273569094,0.447838875
0.189738825,8.552963016,0.986429993,0.221992972,0.307809263,0.503890816
0.212491985,8.564232973,1.009765299,0.25141612,0.325509938,0.532867226
0.22697802,8.571226701,1.036005579,0.274005592,0.328909601,0.538432553
0.249297749,8.567489439,1.06361877,0.273868257,0.351325809,0.575128398
0.287076998,8.560171288,1.092061706,0.307263583,0.378501947,0.619616359
0.304097178,8.553347099,1.125180408,0.360403895,0.381605632,0.624697163
0.302761422,8.549422622,1.161837611,0.366036995,0.362001775,0.5926052
0.276815702,8.549266371,1.197244488,0.331862138,0.333457078,0.545876877
0.241419858,8.550341905,1.228604374,0.288982009,0.318166475,0.520845808
0.224014615,8.550984742,1.256382514,0.267367968,0.313601342,0.513372581
0.208853259,8.551529199,1.28257404,0.249910618,0.278014411,0.45511596
0.169339574,8.553245122,1.305820125,0.203154683,0.229455084,0.37562323
0.122254156,8.555184433,1.323789268,0.147285654,0.179880022,0.294467717
0.080097266,8.558005566,1.336385378,0.096875377,0.120937432,0.197977347
0.043874436,8.559793878,1.344175473,0.053464164,0.064907764,0.106255496
0.018558616,8.561211052,1.348146961,0.022702285,0.01042569,0.017067093
0.002257206,8.562858974,1.349545076,0.002968159,-0.047264395,-0.077372897
-0.013149988,8.564838459,1.349193521,-0.016371319,-0.089551839,-0.146598412
-0.027008972,8.565949192,1.346796955,-0.032535266,-0.103968673,-0.170199099
-0.036431177,8.567715801,1.343121969,-0.043053759,-0.134867429,-0.220781071
-0.057074468,8.569234392,1.338003505,-0.067813401,-0.204611863,-0.334954308
-0.11034562,8.568342368,1.32897931,-0.130670647,-0.29801498,-0.48785735
-0.201284516,8.561419798,1.311689068,-0.237449637,-0.371869797,-0.608759378
-0.290893394,8.549826501,1.28323469,-0.345604167,-0.422975324,-0.692420295
-0.383681224,8.530554969,1.244231476,-0.460647924,-0.520845022,-0.852635234
-0.549185253,8.481281774,1.190451123,-0.66276378,-0.610865,-1
-0.686013032,8.408825415,1.11528975,-0.846112399,-0.610865,-1
-0.726055512,8.357545941,1.027048102,-0.914153538,-0.610865,-1
-0.730067806,8.317568005,0.934898419,-0.926893484,-0.610865,-1
-0.730769008,8.279325112,0.842182923,-0.92687461,-0.610865,-1
-0.731370533,8.242256377,0.749531724,-0.925960057,-0.610865,-1
-0.723877045,8.208627534,0.657115203,-0.909963232,-0.521506536,-0.853718147
-0.533853784,8.229728019,0.574628225,-0.666301448,-0.397282012,-0.650359755
-0.345515431,8.252775088,0.519519343,-0.423849338,-0.351312143,-0.575106026
-0.272201275,8.258108652,0.482611776,-0.322947288,-0.341033041,-0.558278902
-0.248029307,8.258321184,0.452023972,-0.288873517,-0.315851012,-0.517055343
-0.210621613,8.259891119,0.424592952,-0.249170039,-0.275142549,-0.450414657
-0.175540842,8.26257762,0.401756119,-0.20802586,-0.304864211,-0.499069698
-0.230799566,8.25704675,0.379575334,-0.271081236,-0.453250012,-0.741980653
-0.43174645,8.220144632,0.34352001,-0.506429845,-0.606496836,-0.992849216
-0.642940619,8.142299763,0.28075922,-0.765984355,-0.610865,-1
-0.722044394,8.082286586,0.197900233,-0.883267195,-0.610865,-1
-0.738512365,8.041239802,0.107984698,-0.909618931,-0.610865,-1
-0.740423346,8.005201671,0.016873689,-0.911256238,-0.610865,-1
-0.741794495,7.970838409,-0.074186668,-0.910102661,-0.610865,-1
-0.744064302,7.936853344,-0.165150437,-0.908782034,-0.610865,-1
-0.746779215,7.902422112,-0.255940247,-0.906564512,-0.565880465,-0.926359286
-0.619946657,7.907990754,-0.342476445,-0.743410346,-0.402932994,-0.659610542
-0.337696912,7.945838194,-0.401675257,-0.403558611,-0.241355465,-0.395104426
-0.144594584,7.968242067,-0.430683354,-0.166567958,-0.10222871,-0.16735074
-0.043406562,8.024390669,-0.441359549,-0.046843937,0.012277074,0.020097852
0.002642604,8.098598457,-0.443512138,0.004300233,0.11409907,0.186782792
0.043327032,8.173190289,-0.441227249,0.04983095,0.174446505,0.285572925
